LEXIQUE FRANÇAIS - CRÉOLE GUYANAIS,Unnamed: 1
TI DIKSYONÈR FRANSÈ - KRÉYÒL GWIYANÈ,
Français,"Créole Guyanais
Kréyòl Gwiyanè/ Kréyòl di Lagwiyann"
(futur),Wa (vieilli) / Ké
À cause de,Pou rézon ki
"À ce moment-là, alors",Lò-la
À l’envers,"Divan-dèyè, lanvè-landrèt"
"À présent, de nos jours","Atchwèlman, jòdla"
Abasourdi,"Ababa, stébékwé"
Abeille,Mouch-myèl
Abords de l’habitation,Lantouraj kaz
Abris,"Ajoupa, Latcho-oko"
Abruti,"Kòkòdò, Tèbè"
Accélérer,"Pézé, pitché"
Accélérer (quelqu’un),Zizi galopant (bay zizi galopant)
Accent,"Laksan, aksan"
"Accord (d’un commun …), conjointement",Ansanm-ansanm
Acheteur,Achtò / achtèr
Acre,Rak
Affaire compliquée,"Chyen-maré, batmanman"
Âgé,Granmoun
"Agréable, Bon goût","Chwit, Koupé dwèt"
Aiguiser,Filé
Ainsi,"Konran, konsa"
Aller,"Alé, pati"
"Aller (s’en…), partir","Do, pati, dékòsté"
Aller voir pour …..,Joujé…..
Ailleurs,"Ròt bò, ròt koté, ayò (vieilli)"
Allonger,Bay chenn
"Amadouer, Endormir la vigilance","Amòrfrézé, amòrfozé, anmòrfozé"
"Ample, flottant",Badja
Amuser,Anmizé
Animal,"Zannimo, bèt"
Apparemment,"I sanblé, konsidiré"
Apporter son concours,"Bay chenn, lavwa, lanmen, andan"
Appuyer,Pézé
Araignée,"Arengnen, zagriyen, zagrignen"
Arbalète,"Labalèt, larbalèt"
Argent,"Soumaké, lajan, plon"
"Argent, Monnaie","Lanmonnen, soumaké"
Armoire,Lèrmwè
Arracher,Raché
Arriéré,Nèg komanbo
Arriver en grand nombre,Dévidé
Arrogant,Gran larjò
Assiette,"Zasyèt, plat-manjé"
Assurer,"Asouré, asiré"
Attacher,Maré
