Cadence,"Djèz, gréman, bidjoul"
Campagnard,"Bitak, Nèg-nòv, Nèg komanbo"
Cancan,Djopopo
(Cancans) faire des …,"Bat-djòl, bay lang, bay lanng, bay kout lang, bay
kout lanng"
Caniveau,Dalo
Canne de pêche,"Batonzen, baton-zen, baton-lign"
Cannot,"Kannon, kannòt"
Cannot amérindien,Kouyara
Carte bancaire,Kart-labank
Cartilagineux,Kroum-kroum
"Cas où (pour le, au …)",Dé fwè ki
Cash (payer…),Kòtòk
Cataplasme,"Katanplanm, kataplanm"
Catégorie de personnes,"Konpanyen, bannélo, ran (sa ran yan = sa moun
yan)"
Ce n’est pas flatteur !,"Sa pa flatò, flatèr"
Ceci dit,Atò
Ceinture,"Sentir, sentou"
Celui-ci est,"Sa oun, sa roun"
Cependant,Atò
Certain,"Sir é sèrten, asiré"
"Certain, sûr",Asiré pa pitèt
Ceux parmi qui …,Sa di zòt ki …
Chaise à bascule (rocking-chair),Bélina
Chaleur,"Chalò, chalèr"
Change (petite monnaie),Ti lanmonnen
Chansonnette,Ti lorizon
Charabia,Kingéyanga
Chatouyer,Chatrouyen
Chaudière,"Choudjè, Chòdjè"
Chaussure à semelle en bois,Sabo-borga
Chenal,Sinal
Cher (mon),Chè
Chercher des histoires,"Sasé chikann, sasé tren, sasè trè"
Chez moi,A mo dégra
Chirurgien,"Sourjen, sourijen"
Chose,"Kichoz, bagaj, bèt"
Citrouille,Soutriy
Clin d’oeil,"Bat-wéy, kasé-wéy"
"Clique, accolite",Bannélo
Coffre-fort,Kòfò
Coiffe de la femme Créole,Roun lachat
Coincer,Fyon
Combat,"Tchòk, briga, bigas, garoulé"
Comme,Kou
Comme ça,"Konran, konsa"
Comme il faut,"Kou li divèt, kòmifo"
Comme si on dirait,"Kousandiré, konsidiré"
Compris !,Tandé
Concerner (en ce qui),So pa
Concubinage,"Konjonkò, konjòkò"
"Conséquences, Suite",Réfren an
