Continuer,"Kontinwé, kontinwen, kontinyé"
Contrarier,"Chagriné, Chagren"
Convenir (ne pas),A pa mo pa
Conversation,Kozman
"Copain, Copine","Djal, masibòl, masibò"
Corbeau,"Krobo, kranmou"
Cordonnier,Kondongnen
Co-religionnaire,Chè-frè
Costume,Konplé
"Couac trempé (avec beaucoup d’eau), un encas",Chibè
Coup d’oeil,Djété
Courber,Kroubé
Courir vite,Pézé
Crème de maïs,"Angou, angou-mi, matété"
Créole,"Kréyòl, kriyòl"
Croyant non pratiquant,"Yogonon, yogonnon"
Cuillère,"Tchwiyèr, Kouyèr, kouyè"
Cuisine,Tchwizin
Curieux,"Kiryé, kiryéz"
D’accord (se mettre),Maché dakò
Dailleurs,Dayèr
Débarquer,Débaké
Débauche,La banbòch
Débrouiller (se),Rédi so kannon
Débrouillard,"Débrouya, débouya, débriya"
Débrouyer,Débriyé
Début,Koumansman
Décoloration de la peau,Chawawa
Décrier,Vyèrj-nwè
"Dedans, dans","La, andan, annan"
"Dedans, Dehors","Andidan, andèrò, landan, dèrò"
Dégager (chien),Mach !
Dégager (poule),Chou !
Déguerpir,"Digidap, Digilòp, djigilòp"
Déjeûner,Doujnen
Demi-heure,"Dimiyò, Dimiyèr"
Demi-litre,Bòk
Demi-portion,"Abèbè, Initil, Djoubatè, Tèbè, pa vayan"
Denier,Dannyé
Dépérir,Dédou
Depuis,Dipi
"Dérive, Dériver","Driv, Drivé"
Dernièrement,"Dannyèman, dèrnyèrman"
Derrière,Dèyè
Dès le lever du soleil,"Bonnò-bonnò, bònò-bònò, o pipiri chantan"
Désirer fortement une nourriture,Bouch ka fè dilo
Désordre,"Djopopo, trafalga"
Désordre (faire du),"Blow, tren (pété)"
Désorganisé,Bankoulélé (an)
Désorienté,Pédi-kap
Dessert,Dèsè
Dessus lui,Lasou l’
Détranper,Dégobyé
