Devant,"Divan, douvan"
Dévier,"Chimin-kochi, chemin trébésé, chimen-chyen"
Devin,"Divinò, gadò"
Devoir,"Dévé, dwé"
Devoir (verbe),"Divèt, dwèt"
Diamant,Djanman
Diarhée,"Djidjit, kaka-dlo, kokomèrlo pran’l"
Différent,Rounòt bwa
Difficile,Zenk ké kròk
Dîner,"Dinen, soupé"
Directeur,"Dirèktò, direktèr"
Discipliner,Tayé roun zazou
"Dispute, violente dispute","Djopopo, garoulé (pété garoulé ké…)"
Disputer (avec),"Trapé ké, kontré bouch ké, babyé, pété garoulé"
Divorcer,Démaryé
Docteur,"Dòktèr, Dòktò"
Docteur (spécialiste),"Dòktèr- tchò, pyé, tèt, wéy, lapo …"
Doigt,Dwèt
Donc,"Donk, kidonk"
Dormir,Dronmi
Douleur,"Doulò, doulèr"
Doux,Dous
Dur,"Dou, rèd"
Dur à cuire,Zenk ké kròk
Durer,Douré
Échappatoire,Galman
Écouter bien,"Krè mo, krè oun sòt, krè oun chyen fenyan"
Écrivain,Markè-palò
"Écumer, écume, mousse","Tchoumen, tchoum"
Ecureuil,"Gélengé, gélenngé"
Éffronté,"Fronté, krann"
Également,osi
Égalité,"Égal-égo, kont-é-kont"
Égouts,Masigrondé
Élégance,"Djèz, bidjoul, obidjoul, bòdzè"
Éloigné (très),Dèyè do
Embêter,Chikannen
Embouchure,"Bouchou, bouch"
Empoigner,"Ponyen, anponyen, Ponyan"
Empoisonner,"Pwanzonnen, pwazonnen"
En affaire,"Annafè, annafèr"
En bêtise,An bibilik
En ce qui concerne ….,Pou zafè …
En cachette,"Anba-fèy, anba-anba"
En définitive,A la fen di kont
En dessous,Anba
En fiche (s),"Foutan, manfouben, fouben"
En haut,Laro
En plus …..,É … atò
En rampant,"Do ba-do ba, a pyé djonn"
"Encore, De nouveau","Ankò, òkò"
"Enfant, enfant de…","Ti-moun, pitit"
Enfant insupportable,Troumantan
