Geste,Nika
Glaire,Flim
Glisser,"Chibré, pran roun so"
Gnognote,Lapikoré
"Gorge, œsophage",Gargann
Gourmand,"Gouloufya, grouman, agoulou, agouloufya"
Goût pour être chef,Koumandò
Gouvernement,Gouvèlman
Grand bruit,"Boukan, dézòrd"
Grande taille (vêtements),Badja
Grenier,"Galta, galita"
Grenier,"Gala, laro griyen"
Grimacer,Griyen
Gringalet,"Drivayèr, drivayò"
Gros,"Matengal, bi, papa, bakawa"
Gros débris de manioc,Grigri
Grosseur,"Gròsò, grosò, grosèr"
Habiter,Rété
Habitude,"Labitoud, labitid"
Haillons (en),"Enpany, ranyon, griyon, grignon"
Hamac,Ranmak
Hameçon,"Penlen, zen"
Hardi,Radi
Hauteur,"Ròtò, otèr, rotèr"
"Hazard,","Azò, ako (chance)"
Herbe,Radjé
Heureux,"Éré, tchò-kontan"
Heurter,Bité
Histoire,"Listwè, istwè"
Histoire piquante,Bi
"Homosexuel, efféminé","Makoumè, makoumè-lèlè"
Honneur,"Lònò, lonèr"
Hors de prix,"Rò-di-pri, chè"
Hypocrite,Anba-anba
Il est six heures,Li si-zò
Il n’y en a pas,Gnanpwen
Il ne suffit pas …,A pa loutou …
Important,"Gro-mouché, gro-mòrdan"
Indigence,Benyenyen
Insecte,"Zinsèk, zagriyen, zagrignen, babo"
Inséparable,"Lapo ké chimiz, zong ké lapo, tchilòt ké gogo"
Insipide,"Chaw-chaw, mapou"
Insolent,Fronté
Instituteur,"Mèt-lékòl, métrès-lékòl"
Instruire,Enstri
Intéressant (faire l’),Gran larjò
Interloqué,"Stébékwé, ababa"
Interjection,Anfan’ djen’
Inutilement,"Pou bon tchò, grémési, anyen d’tou"
Inutilement,"Pou grémési, pou bon tchò"
Jadis,"Ròt fwè, anvan, an tan lontan"
Jaguar tâcheté,"Tig-marké, tig-lapousignen, lapousinyè"
"Je suis là, comment?",Éti
